name,propDead,leafForm,leafThickness,leafWidth,leafLength,leafSeparation,stemOrder,ignitionTemp,moisture,G.C_rat,C.C_rat
Acacia pentadenia,0.1,Flat,0.000118,0.00175,0.005,0.001764706,4.2,260,1,1,0.05
Acacia urophylla,0.1,Flat,0.000176,0.03,0.08,0.021428571,4.2,260,1,2,0.1
Agonis flexuosa,0.1,Flat,0.000176,0.008,0.07,0.01,5,240,1,2,0.2
Allocasuarina decussata,0,Round,0.00048,0.00048,0.14,0.003559322,5,260,1,0.5,0.5
Allocasuarina fraseriana,0,Round,0.0006,0.0006,0.15,0.0031,4,260,1,0.5,0.5
Banksia grandis,0.1,Flat,0.0004,0.07,0.275,0.015,2,260,1,5,0.05
Bossiaea aquifolium,0.1,Flat,0.000184,0.014,0.011,0.010714286,5,260,1,0,1
Chorilaena quercifolia,0.2,Flat,0.00033375,0.027,0.042,0.014,5,260,1,10,0.02
Corymbia calophylla,0.1,Flat,0.00032,0.038,0.13,0.015,4,220,1,7,0.08
Eryngium pinnatifidum,0.3,Flat,0.0003,0.05,0.195,0.05,1,260,1,1,0.1
Eucalyptus gomphocephala,0,Flat,0.00036,0.021,0.125,0.0169,4.8,240,1,5,0.1
Eucalyptus marginata,0,Flat,0.0003,0.023,0.105,0.0329,5,240,1,3,0.1
Macrozamia fraseri,0,Flat,0.0006,0.006,0.15,0.005,1,260,1,0,1
suspNS,1,Round,0.015,0.015,0.15,0.14,1,260,0.005,0,1
Thomasia heterophylla,0.2,Flat,0.00011,0.02,0.024,0.014,5,260,1.5,5,0.1
Xanthorrhoea gracilis,0.2,Flat,0.0016,0.003,0.15,0.04,1,260,1,0,1
Xanthorrhoea preissii,0.2,Round,0.0023,0.0025,0.15,0.02,1,260,1,0,1
